127.0.0.1 - - [19/May/2020:08:34:59 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [19/May/2020:08:35:00 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 200 2531
0:0:0:0:0:0:0:1 - - [19/May/2020:08:35:00 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [19/May/2020:08:58:14 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 500 2951
0:0:0:0:0:0:0:1 - - [19/May/2020:08:58:23 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 500 2993
0:0:0:0:0:0:0:1 - - [19/May/2020:09:04:27 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 500 2997
0:0:0:0:0:0:0:1 - - [19/May/2020:09:10:14 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 500 2902
0:0:0:0:0:0:0:1 - - [19/May/2020:09:11:04 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 500 2994
0:0:0:0:0:0:0:1 - - [19/May/2020:09:17:55 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 200 2654
0:0:0:0:0:0:0:1 - - [19/May/2020:09:18:10 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 200 824
0:0:0:0:0:0:0:1 - - [19/May/2020:09:25:34 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [19/May/2020:09:40:55 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 500 3009
0:0:0:0:0:0:0:1 - - [19/May/2020:10:01:39 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 200 2690
0:0:0:0:0:0:0:1 - - [19/May/2020:10:21:45 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 500 2904
0:0:0:0:0:0:0:1 - - [19/May/2020:10:22:57 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 200 2441
0:0:0:0:0:0:0:1 - - [19/May/2020:10:24:39 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 200 2654
0:0:0:0:0:0:0:1 - - [19/May/2020:10:25:06 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 200 2654
0:0:0:0:0:0:0:1 - - [19/May/2020:10:25:07 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 200 2654
0:0:0:0:0:0:0:1 - - [19/May/2020:10:25:08 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 200 2654
0:0:0:0:0:0:0:1 - - [19/May/2020:10:25:08 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 200 2654
0:0:0:0:0:0:0:1 - - [19/May/2020:10:25:08 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 200 2654
0:0:0:0:0:0:0:1 - - [19/May/2020:10:25:10 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 200 2654
0:0:0:0:0:0:0:1 - - [19/May/2020:10:25:11 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 200 2654
0:0:0:0:0:0:0:1 - - [19/May/2020:10:25:11 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 200 2654
0:0:0:0:0:0:0:1 - - [19/May/2020:10:25:12 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 200 2654
0:0:0:0:0:0:0:1 - - [19/May/2020:10:28:38 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 200 2654
0:0:0:0:0:0:0:1 - - [19/May/2020:10:28:39 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 200 2654
0:0:0:0:0:0:0:1 - - [19/May/2020:10:28:49 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 200 2654
0:0:0:0:0:0:0:1 - - [19/May/2020:10:28:49 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 200 2654
0:0:0:0:0:0:0:1 - - [19/May/2020:10:28:50 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 200 2654
0:0:0:0:0:0:0:1 - - [19/May/2020:10:28:57 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 200 2441
0:0:0:0:0:0:0:1 - - [19/May/2020:10:47:36 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 200 2441
