127.0.0.1 - - [23/Jun/2020:09:48:33 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:48:33 -0300] "GET /EventCreator/cad.jsp HTTP/1.1" 200 24478
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:48:33 -0300] "GET /EventCreator/css/bootstrap.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:48:33 -0300] "GET /EventCreator/style1.css HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:48:33 -0300] "GET /EventCreator/css/bootstrap.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [23/Jun/2020:09:48:33 -0300] "GET /EventCreator/img/new2.jpg HTTP/1.1" 200 105213
0:0:0:0:0:0:0:1 - - [23/Jun/2020:10:34:44 -0300] "GET /EventCreator/cad.jsp HTTP/1.1" 200 24478
0:0:0:0:0:0:0:1 - - [23/Jun/2020:10:34:44 -0300] "GET /EventCreator/css/bootstrap.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [23/Jun/2020:10:34:44 -0300] "GET /EventCreator/css/bootstrap.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [23/Jun/2020:10:34:44 -0300] "GET /EventCreator/img/ico.png HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [23/Jun/2020:10:34:50 -0300] "GET /EventCreator/css/bootstrap.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [23/Jun/2020:10:40:11 -0300] "GET /EventCreator/cad.jsp HTTP/1.1" 200 24486
0:0:0:0:0:0:0:1 - - [23/Jun/2020:10:40:11 -0300] "GET /EventCreator/css/bootstrap.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [23/Jun/2020:10:40:11 -0300] "GET /EventCreator/css/bootstrap.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [23/Jun/2020:10:40:11 -0300] "GET /EventCreator/img/ico.png HTTP/1.1" 200 530
